iter	Passed	Remaining
0	207	207019
1	359	179381
2	526	174910
3	674	168046
4	826	164467
5	952	157879
6	1135	161036
7	1234	153051
8	1388	152838
9	1531	151632
10	1632	146754
11	1749	144055
12	1893	143741
13	2090	147237
14	2245	147481
15	2349	144479
16	2515	145483
17	2697	147164
18	2810	145111
19	2891	141706
20	3053	142351
21	3204	142460
22	3364	142900
23	3506	142615
24	3620	141203
25	3805	142543
26	3988	143719
27	4140	143725
28	4235	141832
29	4398	142223
30	4515	141152
31	4708	142422
32	4855	142275
33	5042	143270
34	5217	143861
35	5462	146271
36	5636	146697
37	5806	146998
38	5846	144071
39	5970	143303
40	6101	142719
41	6269	142993
42	6499	144653
43	6630	144068
44	6746	143166
45	6859	142258
46	7035	142661
47	7180	142406
48	7320	142071
49	7527	143015
50	7787	144906
51	8021	146246
52	8170	145992
53	8287	145184
54	8455	145282
55	8564	144378
56	8683	143650
57	8781	142616
58	8849	141141
59	8947	140182
60	9061	139488
61	9120	137991
62	9295	138249
63	9459	138345
64	9643	138714
65	9839	139239
66	10016	139478
67	10397	142501
68	10682	144136
69	10936	145303
70	11016	144146
71	11208	144469
72	11323	143793
73	11508	144010
74	11641	143577
75	11779	143210
76	11940	143134
77	12092	142944
78	12294	143326
79	12441	143073
80	12621	143194
81	12742	142656
82	12904	142569
83	13090	142746
84	13270	142854
85	13442	142864
86	13622	142954
87	13846	143499
88	13988	143186
89	14197	143551
90	14359	143436
91	14534	143452
92	14715	143517
93	14900	143620
94	15052	143392
95	15213	143262
96	15383	143208
97	15575	143353
98	15811	143901
99	16041	144371
100	16271	144829
101	16469	144993
102	16655	145049
103	16828	144987
104	16989	144819
105	17121	144401
106	17269	144131
107	17456	144177
108	17620	144037
109	17796	143988
110	17949	143757
111	18134	143780
112	18407	144489
113	18638	144853
114	18808	144747
115	18966	144538
116	19163	144624
117	19278	144096
118	19468	144136
119	19671	144260
120	19881	144425
121	20056	144338
122	20245	144350
123	20448	144456
124	20648	144542
125	20809	144343
126	20980	144222
127	21098	143731
128	21186	143046
129	21339	142811
130	21512	142706
131	21668	142483
132	21834	142332
133	21996	142159
134	22117	141718
135	22276	141523
136	22424	141258
137	22586	141086
138	22669	140420
139	22774	139898
140	22965	139910
141	23128	139750
142	23283	139537
143	23429	139276
144	23520	138691
145	23670	138458
146	23765	137902
147	23981	138058
148	24115	137731
149	24419	138374
150	24568	138137
151	24722	137928
152	24857	137607
153	24956	137097
154	25113	136907
155	25216	136428
156	25424	136515
157	25578	136309
158	25722	136054
159	25865	135792
160	26018	135586
161	26149	135269
162	26296	135031
163	26455	134857
164	26614	134686
165	26801	134651
166	27012	134740
167	27182	134615
168	27354	134507
