iter	R2	RMSE
0	0.01418289478	18344.98151
1	0.02816713009	18214.40109
2	0.04208592466	18083.49544
3	0.05580498825	17953.53425
4	0.06915325553	17826.17624
5	0.0823470326	17699.39169
6	0.09524128786	17574.60167
7	0.1079036057	17451.18794
8	0.1202968402	17329.54578
9	0.1324707843	17209.21888
10	0.1443853027	17090.63589
11	0.1560689758	16973.54593
12	0.1674983146	16858.21796
13	0.1787597503	16743.80729
14	0.1899365087	16629.47863
15	0.2008666215	16516.9076
16	0.2114487453	16407.18471
17	0.2219800098	16297.25578
18	0.2320770395	16191.15872
19	0.2419610107	16086.62269
20	0.2517715882	15982.18676
21	0.2614819125	15878.14165
22	0.2710875804	15774.54273
23	0.2804427059	15672.98773
24	0.2896416606	15572.48228
25	0.2985448248	15474.58695
26	0.3074832212	15375.67724
27	0.3161192812	15279.50495
28	0.3246261529	15184.1758
29	0.3329121026	15090.7434
30	0.3411778685	14996.95864
31	0.3492186915	14905.15989
32	0.3571721342	14813.79911
33	0.3649101199	14724.36925
34	0.3724885059	14636.25429
35	0.3798918984	14549.65872
36	0.3872192022	14463.44264
37	0.3944626436	14377.70518
38	0.4015299809	14293.55652
39	0.4084580051	14210.58297
40	0.4151363729	14130.13823
41	0.4217423929	14050.11183
42	0.4283182073	13969.99607
43	0.4347775333	13890.84968
44	0.441118029	13812.71826
45	0.4472264029	13737.02692
46	0.4532727641	13661.691
47	0.4592485313	13586.82425
48	0.4651329261	13512.69691
49	0.470893401	13439.7346
50	0.4764934102	13368.42304
51	0.4819933121	13298.01404
52	0.4874477096	13227.81746
53	0.4926953775	13159.92801
54	0.4978843408	13092.45189
55	0.5030696914	13024.67354
56	0.5080593478	12959.11847
57	0.5129744695	12894.21679
58	0.5177894508	12830.31909
59	0.5225148233	12767.29962
60	0.5272147516	12704.30941
61	0.5317827116	12642.78715
62	0.5361925796	12583.10875
63	0.5406343797	12522.71071
64	0.5449237973	12464.10694
65	0.5491422117	12406.20325
66	0.5533051149	12348.79535
67	0.5573390406	12292.91034
68	0.5613068274	12237.69264
69	0.5652325015	12182.81471
70	0.5691472069	12127.84283
71	0.5728970025	12074.95201
72	0.5766652492	12021.56652
73	0.5802977404	11969.87892
74	0.5839097452	11918.26056
75	0.5874209073	11867.86813
76	0.5908438634	11818.5348
77	0.5942534236	11769.18896
78	0.5976126559	11720.36833
79	0.600877413	11672.72507
80	0.6040995903	11625.51175
81	0.6072657719	11578.93138
82	0.6103900349	11532.7833
83	0.613457048	11487.30053
84	0.6164516078	11442.71779
85	0.6193891737	11398.81414
86	0.6223280394	11354.7212
87	0.6251976409	11311.50161
88	0.6280243376	11268.76615
89	0.6307767796	11226.997
90	0.633483314	11185.77242
91	0.6361194201	11145.47399
92	0.6387473468	11105.15505
93	0.6413201865	11065.53895
94	0.6438400116	11026.60121
95	0.6463176939	10988.18014
96	0.6487306779	10950.63277
97	0.6510917206	10913.7686
98	0.6534444677	10876.90967
99	0.655720526	10841.13292
100	0.6579529888	10805.92636
101	0.6601672974	10770.89243
102	0.6623403801	10736.3996
103	0.6644805257	10702.32093
104	0.6665843259	10668.71491
105	0.668610343	10636.25102
106	0.6706248424	10603.87315
107	0.672641861	10571.35544
108	0.6746009993	10539.6748
109	0.676545319	10508.13936
110	0.6784471653	10477.20098
111	0.6803491808	10446.1682
112	0.6821897619	10416.04975
113	0.683938204	10387.35814
114	0.6856826587	10358.65276
115	0.6873942775	10330.41017
116	0.6891131095	10301.97065
117	0.6907668782	10274.53335
118	0.6924291945	10246.8802
119	0.6940273268	10220.22423
120	0.69560722	10193.80396
121	0.6971523202	10167.89913
