iter	Passed	Remaining
0	16	1623295
1	25	1298837
2	34	1161431
3	46	1174358
4	54	1099529
5	62	1039864
6	73	1051635
7	83	1046930
8	92	1028319
9	102	1023002
10	109	996924
11	117	978494
12	125	963355
13	133	954251
14	141	945468
15	149	933073
16	158	934073
17	166	923074
18	173	911730
19	179	897971
20	186	889665
21	194	883353
22	201	875658
23	208	868322
24	216	864474
25	224	863077
26	235	873414
27	251	899424
28	263	910077
29	273	911596
30	285	919258
31	296	926668
32	306	927946
33	313	922853
34	321	918712
35	329	914380
36	336	910227
37	344	906636
38	351	900466
39	357	894372
40	364	889808
41	371	884881
42	379	881880
43	386	877019
44	391	870053
45	397	864323
46	403	858876
47	410	853776
48	415	847676
49	420	841410
50	426	835462
51	431	830323
52	437	825056
53	443	820115
54	448	815538
55	454	811096
56	460	807222
57	465	802854
58	471	798529
59	476	794471
60	483	791536
61	489	788578
62	494	784854
63	500	781280
64	506	777977
65	511	774690
66	517	771735
67	523	768748
68	528	765610
69	534	763295
70	540	760700
71	546	758259
72	552	755664
73	557	753108
74	563	750824
75	569	748118
76	574	745602
77	581	744541
78	587	743286
79	594	741958
80	600	740661
81	606	739314
82	612	737731
83	618	736059
84	625	735360
85	632	734301
86	638	733334
87	644	732293
88	650	730654
89	656	729342
90	663	728133
91	668	726388
92	675	725506
93	681	724357
94	688	723978
95	694	723193
96	700	721699
97	707	720922
98	713	719714
99	719	718930
100	726	718649
101	732	717527
102	739	716946
103	745	716449
104	752	716378
105	760	716348
106	766	715166
107	774	716549
108	782	717298
109	793	720872
110	802	722021
111	811	723312
112	818	723512
113	827	725078
114	836	726578
115	847	729737
116	855	730623
117	863	731059
118	883	741786
119	892	742792
120	899	742788
121	908	743426
122	915	743274
123	923	743523
124	930	743601
125	938	743689
126	947	744785
127	955	745666
128	962	745540
129	970	745856
130	980	747346
131	989	748999
132	997	748790
133	1007	750689
134	1031	763308
135	1053	773329
136	1064	775870
137	1072	776247
138	1081	777169
139	1094	780544
140	1104	781886
141	1111	781511
142	1119	781880
143	1127	781708
144	1135	782142
145	1143	782099
146	1155	784619
147	1163	784692
148	1170	784698
149	1180	785682
150	1188	786180
151	1200	788324
152	1207	787758
153	1214	787628
154	1222	787670
155	1231	788166
156	1240	789004
157	1249	789556
158	1256	789277
159	1264	788897
160	1270	787978
161	1276	786786
162	1289	789732
163	1298	790699
164	1306	790618
165	1315	790999
166	1325	792566
167	1336	793986
168	1345	794939
169	1357	797287
170	1373	801850
171	1384	803294
172	1399	807745
173	1412	810629
174	1422	811610
175	1437	815103
176	1449	817205
177	1459	818417
178	1470	819895
179	1487	825023
180	1499	827093
181	1508	827394
182	1518	828332
183	1530	830229
184	1543	832864
185	1552	832903
186	1560	832741
187	1567	832442
188	1577	833309
189	1607	844510
190	1620	846828
191	1639	852289
192	1656	856775
193	1672	860416
194	1691	865853
195	1702	866678
196	1712	867609
197	1741	877779
198	1752	879029
199	1761	878888
200	1769	878607
201	1787	883090
202	1796	883199
203	1810	885568
204	1839	895666
205	1886	914054
206	1897	914924
207	1905	914180
208	1915	914578
209	1922	913636
210	1932	913885
211	1941	914010
212	1949	913231
213	1956	912224
214	1963	911121
215	1970	910189
216	1976	908858
217	1982	907604
218	1989	906584
219	1995	905231
220	2002	904308
221	2009	902989
222	2015	901712
223	2023	901106
224	2029	900134
225	2036	899149
226	2043	898192
227	2050	897278
228	2057	896338
229	2064	895405
230	2071	894852
231	2079	894119
232	2086	893425
233	2093	892575
234	2100	891752
235	2106	890506
236	2113	889792
237	2121	889069
238	2128	888644
239	2136	887978
240	2143	887080
241	2150	886633
242	2157	885663
243	2164	885000
244	2171	884194
245	2179	883651
246	2185	882811
247	2191	881413
248	2198	880550
249	2204	879440
250	2210	878638
251	2217	877751
252	2224	877130
253	2232	876556
254	2238	875719
255	2245	875048
256	2252	874362
257	2260	873770
258	2268	873415
259	2275	872980
260	2282	872295
261	2290	871866
262	2297	871215
263	2304	870781
264	2314	871096
265	2321	870582
266	2331	870704
267	2337	869997
268	2345	869741
269	2352	869105
270	2361	868873
271	2367	867921
272	2374	867296
273	2382	866962
274	2388	866220
275	2396	865833
276	2403	865201
277	2410	864610
278	2417	863954
279	2425	863726
280	2431	862813
281	2437	861895
282	2444	861431
283	2451	860604
284	2457	859992
285	2465	859722
286	2473	859216
287	2480	858675
288	2487	858398
289	2496	858207
290	2503	857948
291	2511	857704
292	2519	857357
293	2527	857052
294	2533	856444
295	2541	856089
296	2548	855539
297	2555	855081
298	2562	854385
299	2573	855326
300	2581	854980
301	2587	854054
302	2594	853544
303	2600	852823
304	2606	852093
305	2612	851249
306	2620	850914
307	2628	850745
308	2634	849987
309	2641	849398
310	2648	848844
311	2654	848235
312	2660	847450
313	2667	846735
314	2673	846025
315	2678	845081
316	2685	844366
317	2691	843838
318	2699	843575
319	2706	842973
320	2713	842664
321	2721	842328
322	2728	841956
323	2734	841140
324	2741	840688
325	2747	840187
326	2754	839557
327	2760	838853
328	2766	838233
329	2773	837533
330	2779	836833
331	2785	836117
332	2791	835519
333	2815	840041
334	2821	839562
335	2827	838778
336	2833	837986
337	2839	837289
338	2845	836658
339	2851	835883
340	2857	835122
341	2863	834400
342	2869	833643
343	2875	832929
344	2881	832246
345	2887	831711
346	2893	831106
347	2900	830528
348	2906	830016
349	2913	829376
350	2919	828753
351	2925	828088
352	2931	827480
353	2938	827192
354	2945	826755
355	2951	826195
356	2957	825610
357	2964	825055
358	2970	824466
359	2977	823990
360	2984	823647
361	2991	823293
362	2997	822772
363	3004	822522
364	3011	822107
365	3018	821740
366	3025	821388
367	3031	820811
368	3038	820283
369	3044	819780
370	3051	819398
371	3057	818952
372	3064	818448
373	3070	817880
374	3076	817280
375	3082	816647
376	3088	816152
377	3094	815597
378	3100	815095
379	3106	814501
380	3112	813823
381	3118	813166
382	3124	812555
383	3130	812005
384	3136	811568
385	3142	811094
386	3148	810522
387	3154	809871
388	3160	809229
389	3166	808666
390	3172	808198
391	3178	807756
392	3185	807347
393	3191	806775
394	3197	806272
395	3203	805684
396	3209	805150
397	3215	804739
398	3222	804360
399	3230	804347
400	3239	804513
401	3246	804243
402	3252	803898
403	3259	803516
404	3266	803252
405	3273	802992
406	3281	802977
407	3289	802867
408	3297	802845
409	3304	802712
410	3311	802411
411	3318	802172
412	3325	801793
413	3331	801461
414	3338	801111
415	3345	800773
416	3351	800347
417	3357	799922
418	3364	799541
419	3370	799023
420	3376	798704
421	3384	798697
422	3392	798628
423	3399	798483
424	3408	798550
425	3415	798447
426	3424	798574
427	3432	798618
428	3440	798465
429	3447	798326
430	3455	798192
431	3461	797921
432	3469	797792
433	3476	797592
434	3485	797827
435	3493	797680
436	3501	797774
437	3508	797554
438	3516	797570
439	3524	797483
440	3534	797845
441	3541	797760
442	3550	797860
443	3557	797781
444	3565	797742
445	3574	797803
446	3582	797938
447	3590	797923
448	3598	797925
449	3606	797788
450	3614	797852
451	3624	798258
452	3633	798405
453	3640	798287
454	3649	798363
455	3657	798327
456	3665	798433
457	3674	798610
458	3683	798921
459	3692	799118
460	3701	799189
461	3709	799138
462	3718	799314
463	3727	799664
464	3734	799480
465	3743	799527
466	3750	799449
467	3759	799609
468	3767	799593
469	3776	799639
470	3783	799518
471	3804	802239
472	3826	805068
473	3833	804846
474	3839	804489
475	3846	804256
476	3853	803904
477	3859	803483
478	3865	803215
479	3873	803008
480	3879	802613
481	3885	802210
482	3892	801914
483	3897	801437
484	3903	801018
485	3910	800786
486	3917	800473
487	3924	800184
488	3930	799816
489	3937	799563
490	3945	799521
491	3952	799311
492	3961	799585
493	3970	799781
494	3978	799769
495	3986	799735
496	3994	799766
497	4002	799811
498	4011	799861
499	4019	799879
500	4026	799759
501	4035	799756
502	4043	799893
503	4051	799858
504	4060	799928
505	4067	799737
506	4074	799662
507	4083	799689
508	4091	799687
509	4099	799692
510	4107	799802
511	4116	799941
512	4124	799822
513	4130	799444
514	4139	799577
515	4146	799491
516	4155	799604
517	4163	799635
518	4171	799590
519	4179	799530
520	4187	799630
521	4195	799572
522	4203	799619
523	4211	799579
524	4220	799735
525	4229	799831
526	4237	799903
527	4246	799990
528	4255	800276
529	4264	800419
530	4272	800370
531	4281	800579
532	4290	800675
533	4300	800944
534	4309	801134
535	4318	801361
536	4326	801338
537	4334	801374
538	4343	801493
539	4351	801506
540	4361	801841
541	4368	801695
542	4377	801749
543	4386	802033
544	4396	802325
545	4405	802514
546	4414	802691
547	4423	802866
548	4432	803027
549	4440	803013
550	4450	803208
551	4458	803242
552	4466	803300
553	4476	803592
554	4485	803654
555	4492	803599
556	4501	803637
557	4510	803844
558	4519	803977
559	4529	804255
560	4537	804222
561	4546	804436
562	4555	804596
563	4563	804543
564	4571	804541
565	4580	804681
566	4589	804851
567	4598	805066
568	4607	805143
569	4615	805060
570	4622	804951
571	4630	804869
572	4637	804740
573	4646	804777
574	4655	804934
575	4663	804983
576	4672	805062
577	4680	805121
578	4690	805430
579	4701	805824
580	4709	805943
581	4718	806050
582	4727	806209
583	4736	806267
584	4748	806978
585	4758	807283
586	4768	807537
587	4776	807634
588	4788	808123
589	4838	815252
590	4852	816223
591	4860	816143
592	4868	816138
593	4876	816040
594	4883	815908
595	4892	816008
596	4901	816162
597	4909	816062
598	4918	816188
599	4925	816004
600	4932	815822
601	4940	815714
602	4948	815688
603	4955	815550
604	4962	815335
605	4969	815148
606	4977	815066
607	4985	814945
608	4992	814862
609	4999	814669
610	5005	814299
611	5012	814090
612	5018	813681
613	5024	813331
614	5031	813071
615	5037	812785
616	5044	812551
617	5050	812201
618	5056	811892
619	5063	811637
620	5069	811314
621	5077	811167
622	5084	811081
623	5092	811013
624	5099	810867
625	5107	810829
626	5115	810675
627	5122	810587
628	5130	810524
629	5139	810586
630	5147	810603
631	5155	810519
632	5163	810520
633	5171	810451
634	5180	810619
635	5188	810583
636	5196	810537
637	5203	810469
638	5212	810525
639	5219	810376
640	5227	810337
641	5235	810243
642	5243	810239
643	5250	810044
644	5258	810035
645	5266	809921
646	5274	809980
647	5282	809925
648	5290	809882
649	5297	809690
650	5304	809577
651	5311	809391
652	5319	809233
653	5327	809240
654	5334	809100
655	5341	808978
656	5350	809051
657	5358	809043
658	5368	809219
659	5375	809123
660	5383	809023
661	5390	808939
662	5398	808784
663	5404	808527
664	5411	808290
665	5417	808010
666	5424	807839
667	5431	807627
668	5437	807400
669	5443	807080
670	5450	806772
671	5456	806555
672	5463	806401
673	5472	806483
674	5479	806334
675	5488	806361
676	5495	806211
677	5503	806213
678	5511	806143
679	5519	806141
680	5527	806138
681	5535	806092
682	5542	805919
683	5548	805669
684	5556	805653
685	5564	805586
686	5573	805665
687	5581	805683
688	5590	805731
689	5597	805652
690	5606	805718
691	5614	805695
692	5622	805683
693	5631	805804
694	5639	805771
695	5646	805680
696	5654	805589
697	5661	805435
698	5669	805405
699	5676	805186
700	5683	805094
701	5690	804963
702	5697	804827
703	5704	804654
704	5712	804520
705	5724	805159
706	5734	805393
707	5743	805435
708	5750	805365
709	5757	805165
710	5765	805171
711	5772	804997
712	5781	805128
713	5791	805281
714	5800	805442
715	5808	805455
716	5849	809957
717	5883	813555
718	5894	813905
719	5901	813745
720	5908	813607
721	5916	813552
722	5923	813365
723	5931	813279
724	5941	813592
725	5950	813638
726	5960	813851
727	5969	814004
728	5976	813896
729	5984	813802
730	5991	813599
731	5997	813286
732	6003	813054
733	6009	812735
734	6016	812537
735	6023	812343
736	6029	812100
737	6035	811784
738	6041	811528
739	6047	811248
740	6053	810901
741	6060	810654
742	6068	810749
743	6077	810728
744	6084	810637
745	6092	810568
746	6100	810524
747	6107	810373
748	6114	810257
749	6122	810190
750	6129	809994
751	6136	809842
752	6142	809619
753	6149	809430
754	6156	809271
755	6163	809065
756	6169	808836
757	6175	808538
758	6180	808153
759	6186	807826
760	6192	807535
761	6198	807290
762	6206	807253
763	6214	807234
764	6221	807023
765	6227	806807
766	6234	806607
767	6240	806372
768	6247	806133
769	6254	806037
770	6261	805846
771	6271	806061
772	6277	805820
773	6284	805710
774	6291	805578
775	6299	805535
776	6312	806100
777	6320	806121
778	6329	806212
779	6337	806168
780	6344	806014
781	6352	805985
782	6360	805969
783	6371	806271
784	6378	806145
785	6386	806086
786	6393	806041
787	6403	806279
788	6415	806710
789	6424	806800
790	6432	806814
791	6442	807015
792	6454	807523
793	6466	807998
794	6475	808101
795	6482	807932
796	6491	808040
797	6503	808470
798	6514	808768
799	6522	808842
800	6529	808649
801	6535	808411
802	6542	808257
803	6549	808040
804	6556	807869
805	6563	807822
806	6570	807669
807	6578	807557
808	6584	807332
809	6590	807111
810	6597	806940
811	6604	806813
812	6612	806722
813	6619	806589
814	6624	806227
815	6630	805925
816	6636	805650
817	6642	805409
818	6648	805080
819	6653	804782
820	6659	804489
821	6665	804197
822	6671	803961
823	6677	803671
824	6683	803385
825	6688	803083
826	6694	802780
827	6700	802543
828	6706	802281
829	6713	802106
830	6719	801866
831	6724	801549
832	6730	801280
833	6736	800996
834	6742	800691
835	6747	800370
836	6753	800116
837	6759	799872
838	6772	800457
839	6815	804530
840	6821	804301
841	6828	804191
842	6834	803957
843	6840	803625
844	6846	803351
845	6853	803235
846	6860	803111
847	6866	802880
848	6872	802583
849	6877	802244
850	6883	801940
851	6888	801641
852	6894	801395
853	6900	801157
854	6907	800946
855	6913	800703
856	6918	800378
857	6923	800046
858	6929	799753
859	6935	799470
860	6940	799190
861	6946	798953
862	6953	798807
863	6960	798598
864	6965	798311
865	6971	798079
866	6977	797803
867	6983	797554
868	6989	797298
869	6994	797021
870	7002	796910
871	7009	796888
872	7016	796675
873	7022	796471
874	7028	796263
875	7035	796067
876	7040	795790
877	7048	795688
878	7055	795667
879	7061	795431
880	7067	795194
881	7073	794933
882	7079	794698
883	7085	794462
884	7091	794222
885	7098	794107
886	7106	794057
887	7112	793854
888	7118	793644
889	7124	793404
890	7130	793125
891	7135	792847
892	7142	792731
893	7149	792576
894	7155	792363
895	7161	792118
896	7167	791900
897	7173	791687
898	7179	791436
899	7185	791172
900	7191	790942
901	7197	790777
902	7204	790587
903	7209	790329
904	7215	790036
905	7221	789863
906	7228	789723
907	7234	789563
908	7242	789554
909	7250	789456
910	7256	789285
911	7263	789133
912	7269	788979
913	7276	788880
914	7283	788744
915	7290	788599
916	7298	788662
917	7306	788572
918	7312	788361
919	7318	788171
920	7324	787900
921	7330	787723
922	7336	787519
923	7342	787333
924	7348	787136
925	7354	786875
926	7360	786649
927	7366	786435
928	7372	786190
929	7377	785932
930	7383	785718
931	7390	785569
932	7396	785361
933	7402	785194
934	7408	784985
935	7415	784791
936	7421	784583
937	7427	784368
938	7433	784186
939	7439	783972
940	7446	783870
941	7452	783664
942	7458	783446
943	7463	783198
944	7469	782978
945	7476	782805
946	7482	782640
947	7489	782535
948	7495	782354
949	7502	782190
950	7507	781958
951	7514	781801
952	7520	781587
953	7526	781430
954	7533	781273
955	7539	781132
956	7546	780962
957	7551	780735
958	7558	780583
959	7564	780371
960	7569	780119
961	7575	779909
962	7581	779735
963	7588	779560
964	7594	779375
965	7599	779082
966	7604	778833
967	7611	778655
968	7616	778379
969	7621	778105
970	7627	777937
971	7633	777729
972	7639	777525
973	7645	777328
974	7651	777100
975	7656	776845
976	7662	776575
977	7667	776326
978	7673	776143
979	7679	775968
980	7685	775763
981	7691	775576
982	7697	775322
983	7702	775121
984	7708	774873
985	7714	774707
986	7720	774485
987	7726	774301
988	7732	774152
989	7738	773945
990	7744	773723
991	7750	773504
992	7755	773244
993	7761	773039
994	7766	772805
995	7772	772600
996	7778	772451
997	7785	772283
998	7818	774796
999	7847	776853
1000	7852	776658
1001	7859	776545
1002	7865	776299
1003	7870	776043
1004	7876	775854
1005	7882	775650
1006	7888	775432
1007	7893	775202
1008	7898	774930
1009	7904	774677
1010	7909	774420
1011	7914	774173
1012	7919	773914
1013	7925	773717
1014	7931	773524
1015	7937	773292
1016	7942	773048
1017	7948	772876
1018	7954	772665
1019	7960	772456
1020	7966	772273
1021	7972	772087
1022	7978	771955
1023	7984	771784
1024	7991	771648
1025	7997	771441
1026	8002	771247
1027	8008	771058
1028	8014	770840
1029	8020	770710
1030	8027	770573
1031	8033	770426
1032	8039	770231
1033	8045	770090
1034	8051	769867
1035	8057	769651
1036	8062	769448
1037	8068	769246
1038	8074	769055
1039	8080	768869
1040	8085	768644
1041	8090	768392
1042	8096	768158
1043	8101	767917
1044	8106	767674
1045	8112	767466
1046	8118	767282
1047	8124	767097
1048	8130	766913
1049	8135	766669
1050	8140	766427
1051	8146	766215
1052	8151	766007
1053	8157	765760
1054	8162	765535
1055	8168	765319
1056	8173	765139
1057	8179	764976
1058	8185	764763
1059	8191	764560
1060	8196	764338
1061	8202	764145
1062	8207	763927
1063	8213	763738
1064	8219	763584
1065	8225	763409
1066	8231	763223
1067	8236	763016
1068	8242	762803
1069	8248	762683
1070	8255	762568
1071	8263	762576
1072	8271	762593
1073	8278	762566
1074	8285	762456
1075	8292	762340
1076	8298	762237
1077	8305	762137
1078	8312	762063
1079	8319	762025
1080	8327	762012
1081	8335	762014
1082	8341	761840
1083	8347	761717
1084	8353	761597
1085	8360	761470
1086	8366	761334
1087	8373	761219
1088	8379	761043
1089	8385	760884
1090	8391	760725
1091	8396	760554
1092	8403	760403
1093	8408	760237
1094	8415	760109
1095	8421	760001
1096	8428	759861
1097	8434	759697
1098	8439	759501
1099	8445	759310
1100	8451	759128
1101	8456	758914
1102	8462	758752
1103	8468	758571
1104	8473	758400
1105	8479	758193
1106	8485	758008
1107	8490	757802
1108	8496	757611
1109	8501	757409
1110	8507	757238
1111	8512	757043
1112	8519	756902
1113	8524	756721
1114	8530	756537
1115	8536	756362
1116	8541	756166
1117	8547	755996
1118	8553	755823
1119	8559	755703
1120	8565	755543
1121	8571	755354
1122	8577	755194
1123	8582	755003
1124	8588	754810
1125	8593	754599
1126	8599	754417
1127	8605	754281
1128	8611	754121
1129	8617	753970
1130	8622	753776
1131	8628	753573
1132	8633	753400
1133	8639	753211
1134	8644	753025
1135	8650	752844
1136	8657	752793
1137	8663	752657
1138	8670	752548
1139	8675	752368
1140	8681	752190
1141	8687	752013
1142	8692	751832
1143	8698	751634
1144	8704	751509
1145	8710	751380
1146	8716	751234
1147	8722	751039
1148	8727	750868
1149	8733	750663
1150	8738	750478
1151	8744	750297
1152	8749	750115
1153	8755	749963
1154	8761	749796
1155	8767	749647
1156	8772	749451
1157	8778	749293
1158	8784	749136
1159	8789	748946
1160	8795	748780
1161	8801	748625
1162	8807	748495
1163	8813	748362
1164	8819	748197
1165	8887	753333
1166	8893	753189
1167	8900	753137
1168	8907	753067
1169	8913	752938
1170	8919	752749
1171	8924	752575
1172	8930	752400
1173	8936	752256
1174	8942	752146
1175	8949	752045
1176	8955	751949
1177	8962	751845
1178	8968	751708
1179	8975	751654
1180	8987	751987
1181	8995	752023
1182	9001	751917
1183	9008	751849
1184	9015	751796
1185	9022	751721
1186	9029	751681
1187	9037	751680
1188	9044	751608
1189	9050	751495
1190	9057	751413
1191	9063	751304
1192	9070	751200
1193	9076	751130
1194	9085	751227
1195	9093	751252
1196	9102	751323
1197	9108	751239
1198	9115	751143
1199	9122	751099
1200	9128	750986
1201	9135	750870
1202	9140	750704
1203	9146	750516
1204	9152	750355
1205	9157	750194
1206	9164	750105
1207	9170	749950
1208	9176	749855
1209	9183	749767
1210	9189	749649
1211	9196	749554
1212	9202	749480
1213	9208	749345
1214	9214	749214
1215	9221	749111
1216	9228	749040
1217	9234	748916
1218	9240	748779
1219	9246	748665
1220	9252	748543
1221	9259	748435
1222	9265	748304
1223	9271	748176
1224	9277	748089
1225	9285	748067
1226	9291	747984
1227	9298	747885
1228	9305	747816
1229	9311	747749
1230	9318	747690
1231	9325	747640
1232	9333	747624
1233	9340	747560
1234	9346	747466
1235	9353	747387
1236	9360	747375
1237	9366	747250
1238	9373	747130
1239	9379	747018
1240	9384	746852
1241	9390	746679
1242	9396	746517
1243	9401	746350
1244	9407	746183
1245	9412	746022
1246	9418	745870
1247	9424	745746
1248	9430	745605
1249	9436	745450
1250	9441	745291
1251	9447	745136
1252	9452	744960
1253	9458	744838
1254	9464	744709
1255	9471	744599
1256	9477	744494
1257	9483	744347
1258	9488	744182
1259	9494	744015
1260	9500	743876
1261	9505	743723
1262	9511	743546
1263	9517	743442
